raceethnicity,year,city,state,latitude,longitude,state_fp,armed
Black,2015,Gastonia,NC,35.2658062,-81.2271642,37,Firearm
White,2015,Salt Lake City,UT,40.771666499999995,-111.87140819999999,49,Firearm
White,2015,Palestine,TX,31.774196999999997,-95.6519569,48,No
White,2015,Charleston,SC,32.8577843,-80.07765959999999,45,Knife
White,2015,Craig,CO,40.5144005,-107.4890213,8,No
White,2015,Clarendon,NY,43.1940384,-78.065712,36,Firearm
White,2015,Memphis,TN,35.1571117,-90.00006640000001,47,Other
White,2015,Green Ridge,MO,38.6578484,-93.5117188,29,Firearm
Hispanic/Latino,2015,Napa,CA,38.306118,-122.27445220000001,6,Firearm
White,2015,Tulsa,OK,36.078752200000004,-95.9580338,40,Vehicle
Unknown,2015,Medford,OR,42.311009000000006,-122.8316269,41,Non-lethal firearm
Black,2015,Northglenn,CO,39.8945198,-104.9772263,8,Firearm
Black,2015,Baton Rouge,LA,30.536673399999998,-91.1694337,22,Vehicle
White,2015,Sumas,WA,49.0000114,-122.2853775,53,Firearm
Black,2015,Charlotte,NC,35.2506218,-80.8187485,37,Firearm
White,2015,Ocala,FL,29.3102512,-82.1930542,12,No
Black,2015,New Orleans,LA,30.0135784,-89.98853299999999,22,Other
White,2015,Rudioso,NM,33.3267975,-105.6342545,35,No
Black,2015,Ridgefield Park,NJ,40.86306,-74.0112915,34,No
White,2015,Salemburg,NC,35.0643602,-78.4907397,37,Knife
White,2015,Essex,MD,39.298347799999995,-76.44016140000001,24,Firearm
Black,2015,Modesto,CA,37.6910477,-120.9706879,6,Knife
White,2015,Columbus,OH,40.059024,-82.997337,39,Unknown
Black,2015,Fort Lauderdale,FL,26.1071098,-80.18284009999999,12,Unknown
White,2015,Bakersfield,CA,35.376175,-119.01448490000001,6,Firearm
Black,2015,Emporia,VA,36.6105907,-77.50138879999999,51,Other
Black,2015,Chicago,IL,41.760720299999996,-87.57245999999999,17,No
White,2015,Williamsburg,KY,36.7391205,-84.1332397,21,Firearm
White,2015,Draper,UT,40.539855200000005,-111.88724669999999,49,No
White,2015,Conyers,GA,33.5961237,-84.0463328,13,Firearm
White,2015,Waikoloa Village,HI,19.915194,-155.83175400000002,15,Firearm
White,2015,Tampa Bay,FL,28.102209100000003,-82.4886322,12,No
Black,2015,Johnsonville,SC,33.8190804,-79.4618912,45,Firearm
Black,2015,Tallahassee,FL,30.466476399999998,-84.32925420000001,12,Vehicle
Black,2015,Columbus,OH,39.879382,-82.9963372,39,No
Black,2015,Charleston,SC,32.779574100000005,-79.9380436,45,No
White,2015,Allentown,PA,40.632019,-75.4338379,42,Knife
White,2015,Gettysburg,PA,39.85769439999999,-77.1596814,42,Firearm
Hispanic/Latino,2015,Denver,CO,39.7534,-104.90935990000001,8,Firearm
Unknown,2015,Tuscon ,AZ,34.292964899999994,-111.6646957,4,Firearm
White,2015,Bossier City,LA,32.5170212,-93.7078476,22,Firearm
Unknown,2015,England,AR,34.542649100000006,-91.9658922,5,Firearm
Black,2015,Waco,TX,31.593082,-97.108858,48,No
Hispanic/Latino,2015,Phoenix,AZ,33.378193800000005,-111.978452,4,Other
White,2015,Nashville,TN,36.0540047,-86.7787399,47,Firearm
White,2015,Boulder City,NV,35.9727325,-114.8414688,32,No
White,2015,Robinsonville,MS,34.8307787,-90.32121,28,Firearm
White,2015,Sarasota,FL,27.343109899999998,-82.53862020000001,12,Other
White,2015,Billings,MT,45.789441,-108.5132285,30,Firearm
White,2015,Albuquerque,NM,35.0946403,-106.5861697,35,Firearm
Hispanic/Latino,2015,Wichita,KS,37.6939376,-97.2804936,20,Knife
White,2015,Calimesa,CA,33.9951673,-117.0581017,6,Firearm
Hispanic/Latino,2015,Anchorage,AK,61.2075577,-149.8582001,2,Knife
White,2015,Maricopa,AZ,33.0835686,-112.04293059999999,4,Firearm
White,2015,Green,OH,40.9656982,-81.42943570000001,39,Firearm
White,2015,New York,NY,40.7098999,-73.7943573,36,No
White,2015,San Bernadino,CA,34.164711,-117.3321762,6,Firearm
White,2015,Cabot,AR,34.967532500000004,-92.0081317,5,Knife
Black,2015,Arlington,TX,32.728282899999996,-97.1045675,48,No
White,2015,Port St Joe,FL,29.812402000000002,-85.30191500000001,12,No
Hispanic/Latino,2015,Levelland,TX,33.5913373,-102.3692241,48,No
Hispanic/Latino,2015,Fairfield,CA,38.2652893,-121.9976044,6,Disputed
Hispanic/Latino,2015,Delano,CA,35.7697792,-119.3015518,6,Firearm
White,2015,Green Bay,WI,44.5266283,-88.05789159999999,55,Firearm
White,2015,Rosemont,IL,41.9897374,-87.87591040000001,17,Firearm
White,2015,Orlando,FL,28.480550899999997,-81.3283666,12,Firearm
White,2015,Rufe,OK,34.127708399999996,-95.15651700000001,40,Firearm
Unknown,2015,Lawrenceville,GA,33.933414500000005,-84.0869064,13,Firearm
White,2015,Highland,CA,34.1207352,-117.19861599999999,6,Knife
White,2015,Glendale,AZ,33.5838023,-112.2006413,4,Firearm
White,2015,Sunnyvale,CA,37.4033102,-121.9956697,6,Firearm
Hispanic/Latino,2015,Mesa,AZ,33.3896023,-111.80060459999999,4,Knife
Hispanic/Latino,2015,Tahoka,TX,33.1661153,-101.6661762,48,Knife
White,2015,Marion,IL,37.730811200000005,-88.9412637,17,Firearm
Native American,2015,Lukachukai,AZ,36.4117088,-109.25,4,Firearm
White,2015,St Paul,MN,44.9535713,-93.02455140000001,27,Firearm
White,2015,St Augustine,FL,29.972781199999996,-81.4809528,12,Firearm
Black,2015,Zion,IL,42.4539375,-87.8439407,17,Firearm
White,2015,Sebastopol,CA,38.3767128,-122.79187009999998,6,Vehicle
Black,2015,Fallsburg,NY,41.740416700000004,-74.5979552,36,Firearm
Black,2015,Aurora,CO,39.72816470000001,-104.8446426,8,Vehicle
White,2015,Peoria ,AZ,33.5812721,-112.2033386,4,Non-lethal firearm
Black,2015,Fort Worth,TX,32.660629300000004,-97.3954849,48,No
White,2015,Phoenix,AZ,33.6546099,-112.14319979999999,4,No
Black,2015,Jacksonville,FL,30.3778403,-81.6836172,12,Firearm
White,2015,Guthrie,OK,35.8801193,-97.4228592,40,Non-lethal firearm
Hispanic/Latino,2015,Chandler,AZ,33.326980600000006,-111.8252487,4,No
Black,2015,Carrollton,GA,33.5906563,-85.04890440000001,13,Firearm
White,2015,Smyrna,ME,46.1598784,-68.1000068,23,Knife
White,2015,Smyrna,DE,39.280032399999996,-75.6028052,10,Firearm
White,2015,Indianapolis,IN,39.792715799999996,-85.9919228,18,Firearm
Black,2015,Lyndhurst,NJ,40.8121343,-74.12464449999999,34,Firearm
White,2015,Roosevelt,UT,40.3023154,-109.99699609999999,49,No
White,2015,Columbia,SC,34.0728226,-81.19963840000001,45,No
White,2015,Longview,TX,32.49541,-94.746094,48,Firearm
White,2015,Trenton,MI,42.1408048,-83.21597790000001,26,No
White,2015,Nocona,TX,33.78727,-97.71276379999999,48,Other
Native American,2015,Anchorage,AK,61.218408,-149.858016,2,Knife
Black,2015,Miami Gardens,FL,25.9503192,-80.20742249999999,12,Firearm
Black,2015,St Louis,MO,38.5800999,-90.2375297,29,No
Black,2015,Pittsburgh,PA,40.413045000000004,-79.991463,42,Firearm
White,2015,Penrose,NC,35.2702599,-82.6380997,37,Firearm
White,2015,Aloha,OR,45.4866905,-122.8912506,41,No
Black,2015,Landover,MD,38.9048424,-76.8766708,24,Firearm
White,2015,Huntley,MT,45.8630638,-108.3131864,30,Firearm
Black,2015,Spokane,WA,47.7065501,-117.40327990000002,53,No
White,2015,Catskill,NY,42.262431,-73.9357393,36,Firearm
Asian/Pacific Islander,2015,Boulder,CO,39.93863270000001,-105.25706940000002,8,Firearm
Hispanic/Latino,2015,Elk Grove,CA,38.36859129999999,-121.49391940000001,6,Knife
Hispanic/Latino,2015,Los Angeles,CA,34.0717621,-118.2049866,6,Firearm
Black,2015,Indianapolis,IN,39.811599900000004,-86.1025699,18,Vehicle
Black,2015,St Paul,MN,44.9580421,-93.09425350000001,27,Vehicle
Black,2015,Omaha,NE,41.3234673,-95.9593735,31,No
Black,2015,Chesapeake,VA,36.781304,-76.347865,51,Firearm
White,2015,Columbia,MO,38.9484698,-92.3255698,29,Other
White,2015,Salemburg,OR,44.913921,-122.996177,41,Firearm
White,2015,Rockford,IL,42.2503929,-89.0685043,17,Firearm
White,2015,Kellyville,OK,35.9593201,-96.2797198,40,No
Black,2015,Memphis,TN,35.1648337,-89.9334182,47,Firearm
Black,2015,Fort Lauderdale,FL,26.1292725,-80.1778488,12,Firearm
Asian/Pacific Islander,2015,Stockton,CA,38.029109999999996,-121.31568909999999,6,Firearm
Black,2015,Savannah,GA,32.0666924,-81.1678772,13,Other
White,2015,Huntingdon,TN,35.9514389,-88.57345579999999,47,Other
White,2015,Sacramento,CA,38.55151370000001,-121.4342575,6,Firearm
White,2015,San Francisco,CA,37.7628479,-122.4220047,6,Other
White,2015,Eaton Rapids Township,MI,42.5121727,-84.7003385,26,Other
White,2015,Tempe,AZ,33.4402203,-111.93081979999998,4,Firearm
Black,2015,Oxnard,CA,34.227813700000006,-119.18288419999999,6,No
White,2015,Chavies,KY,37.3803482,-83.2437286,21,No
White,2015,Boise,ID,43.5789295,-116.22232220000001,16,Knife
White,2015,Wilmore,KY,37.8669354,-84.66087859999999,21,Non-lethal firearm
White,2015,Enfield,NC,36.1811831,-77.66698170000001,37,Firearm
White,2015,Robertsville,MO,38.3187816,-90.7944026,29,No
White,2015,Springfield,MO,37.2242855,-93.3193785,29,No
White,2015,Kaumakani,HI,21.9338608,-159.64270019999998,15,Knife
Unknown,2015,Lake Isabella,CA,35.6425591,-118.4136963,6,Firearm
White,2015,Somerset,PA,40.035759000000006,-79.0743942,42,Knife
White,2015,Claymount,DE,39.81792539999999,-75.45635240000001,10,Firearm
